club,city,url
Alabama Mineral & Lapidary Society,Birmingham,"<a href=""http://www.lapidaryclub.com/"">Alabama Mineral &amp; Lapidary Society</a>"
Dothan Gem & Mineral Club,Dothan,"<a href=""http://www.wiregrassrockhounds.com/"">Dothan Gem &amp; Mineral Club</a>"
Huntsville Gem and Mineral Society,Huntsville,"<a href=""http://huntsvillegms.org/"">Huntsville Gem and Mineral Society</a>"
Mobile Rock & Gem Society,Mobile,"<a href=""http://www.mobilerockandgem.com/"">Mobile Rock &amp; Gem Society</a>"
Montgomery Gem & Mineral Society,Montgomery,"<a href=""http://montgomerygemandmineralsociety.com/mgms/"">Montgomery Gem &amp; Mineral Society</a>"
Chugach Gem & Mineral Society,Anchorage,"<a name=""ak""></a>"
Mat-Su Rock and Mineral Club,Palmer,"<a href=""http://www.chugachgemandmineralsociety.com/"">Chugach Gem &amp; Mineral Society</a>"
Apache Junction Rock and Gem Club,Apache Junction,"<a href=""http://matsurockclub.com/"">Mat-Su Rock and Mineral Club</a>"
Black Canyon City Rock Club,Black Canyon City,"<a name=""az""></a>"
Daisy Mountain Rock & Mineral Club,Anthem,"<a href=""http://www.ajrockclub.com/"">Apache Junction Rock and Gem Club</a>"
Gila County Gem & Mineral Society,Miami,"<a href=""http://www.bccrockclub.mysite.com/"">Black Canyon City Rock Club</a>"
Huachuca Mineral and Gem Club,Sierra Vista,"<a href=""http://www.dmrmc.com/"">Daisy Mountain Rock &amp; Mineral Club</a>"
Lake Havasu Gem & Mineral Society,Lake Havasu City,"<a href=""http://gilagem.org/"">Gila County Gem &amp; Mineral Society</a>"
Mineralogical Society of Arizona,Scottsdale,"<a href=""http://www.huachucamineralandgemclub.info/"">Huachuca Mineral and Gem Club</a>"
Mingus Gem & Mineral Club,Cottonwood,"<a href=""http://www.lakehavasugms.org/"">Lake Havasu Gem &amp; Mineral Society</a>"
Mohave County Gemstoners,Kingman,"<a href=""http://www.msaaz.org/"">Mineralogical Society of Arizona</a>"
Old Pueblo Lapidary Club,Tucson,"<a href=""http://www.mingusclub.org/"">Mingus Gem &amp; Mineral Club</a>"
Prescott Gem & Mineral Club,Prescott Valley,"<a href=""http://www.gemstoners.org/"">Mohave County Gemstoners</a>"
