title,author,ranking,score,vote,rating
The Handmaid's Tale,Margaret Atwood,1,"score: 30,733",314 people voted,"4.09 avg rating — 1,102,318 ratings"
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2,"score: 28,553",292 people voted,"4.33 avg rating — 5,742,147 ratings"
Frankenstein,Mary Wollstonecraft Shelley,3,"score: 21,909",224 people voted,"3.78 avg rating — 1,023,439 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,4,"score: 18,720",196 people voted,"4.01 avg rating — 903,270 ratings"
The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin,5,"score: 17,920",184 people voted,"4.06 avg rating — 98,786 ratings"
"Divergent (Divergent, #1)",Veronica Roth,6,"score: 13,326",138 people voted,"4.21 avg rating — 2,602,763 ratings"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,7,"score: 12,749",133 people voted,"4.29 avg rating — 2,200,701 ratings"
"The Giver (The Giver, #1)",Lois Lowry,8,"score: 12,399",129 people voted,"4.12 avg rating — 1,535,105 ratings"
Kindred,Octavia E. Butler,9,"score: 11,070",116 people voted,"4.23 avg rating — 72,335 ratings"
The Dispossessed (Hainish Cycle #6),Ursula K. Le Guin,10,"score: 10,731",112 people voted,"4.21 avg rating — 71,641 ratings"
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,11,"score: 10,117",107 people voted,"4.01 avg rating — 197,786 ratings"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,12,"score: 9,807",104 people voted,"4.03 avg rating — 2,071,958 ratings"
The Time Traveler's Wife,Audrey Niffenegger,13,"score: 9,193",98 people voted,"3.96 avg rating — 1,446,731 ratings"
"Doomsday Book (Oxford Time Travel, #1)",Connie Willis,14,"score: 8,935",96 people voted,"4.03 avg rating — 43,252 ratings"
The Lathe of Heaven,Ursula K. Le Guin,15,"score: 7,775",84 people voted,"4.11 avg rating — 43,989 ratings"
Ancillary Justice (Imperial Radch #1),Ann Leckie,16,"score: 7,336",81 people voted,"3.98 avg rating — 66,205 ratings"
"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,17,"score: 7,017",75 people voted,"4.11 avg rating — 25,879 ratings"
"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,18,"score: 6,890",74 people voted,"4.13 avg rating — 29,641 ratings"
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,19,"score: 6,873",72 people voted,"4.17 avg rating — 52,739 ratings"
"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,20,"score: 6,802",74 people voted,"4.10 avg rating — 116,157 ratings"
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,21,"score: 6,653",71 people voted,"4.16 avg rating — 42,233 ratings"
"The Warrior's Apprentice (Vorkosigan Saga, #2)",Lois McMaster Bujold,22,"score: 6,087",65 people voted,"4.29 avg rating — 20,957 ratings"
"Barrayar (Vorkosigan Saga, #7)",Lois McMaster Bujold,23,"score: 5,623",60 people voted,"4.31 avg rating — 22,111 ratings"
"The Host (The Host, #1)",Stephenie Meyer,24,"score: 5,274",56 people voted,"3.84 avg rating — 828,981 ratings"
"Insurgent (Divergent, #2)",Veronica Roth,25,"score: 4,899",54 people voted,"4.05 avg rating — 1,045,826 ratings"
"Memory (Vorkosigan Saga, #10)",Lois McMaster Bujold,26,"score: 4,682",51 people voted,"4.45 avg rating — 13,949 ratings"
The Children of Men,P.D. James,27,"score: 4,484",49 people voted,"3.68 avg rating — 36,106 ratings"
"Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",G.S. Jennsen,28,"score: 4,394",45 people voted,"3.91 avg rating — 2,146 ratings"
"The Year of the Flood  (MaddAddam, #2)",Margaret Atwood,29,"score: 4,343",47 people voted,"4.06 avg rating — 92,226 ratings"
"Crystal Singer (Crystal Singer, #1)",Anne McCaffrey,30,"score: 4,235",47 people voted,"4.09 avg rating — 17,772 ratings"
"Mirror Dance (Vorkosigan Saga, #8)",Lois McMaster Bujold,31,"score: 4,120",47 people voted,"4.33 avg rating — 17,329 ratings"
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,32,"score: 4,108",47 people voted,"4.33 avg rating — 12,568 ratings"
"The Vor Game (Vorkosigan Saga, #6)",Lois McMaster Bujold,33,"score: 3,895",46 people voted,"4.28 avg rating — 18,977 ratings"
"Wild Seed (Patternmaster, #1)",Octavia E. Butler,34,"score: 3,842",43 people voted,"4.21 avg rating — 14,433 ratings"
"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,35,"score: 3,700",42 people voted,"4.04 avg rating — 106,039 ratings"
"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold,36,"score: 3,683",43 people voted,"4.43 avg rating — 14,493 ratings"
"Brothers in Arms (Vorkosigan Saga, #5)",Lois McMaster Bujold,37,"score: 3,653",43 people voted,"4.21 avg rating — 13,276 ratings"
"Cetaganda (Vorkosigan Saga, #9)",Lois McMaster Bujold,38,"score: 3,618",43 people voted,"4.17 avg rating — 14,830 ratings"
"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,39,"score: 3,535",43 people voted,"3.95 avg rating — 11,142 ratings"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,40,"score: 3,440",38 people voted,"4.15 avg rating — 582,786 ratings"
"Downbelow Station (The Company Wars, #1)",C.J. Cherryh,41,"score: 3,381",40 people voted,"3.91 avg rating — 12,107 ratings"
"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,42,"score: 3,361",39 people voted,"4.01 avg rating — 21,158 ratings"
"Dragon Dawn (Dinosaurian Time Travel, #1)",Deborah O'Neill Cordes,43,"score: 3,340",34 people voted,3.81 avg rating — 194 ratings
"Dragonsong (Harper Hall, #1)",Anne McCaffrey,44,"score: 3,092",36 people voted,"4.25 avg rating — 43,814 ratings"
"Falling Free (Vorkosigan Saga, #4)",Lois McMaster Bujold,45,"score: 3,054",37 people voted,"3.83 avg rating — 16,014 ratings"
"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold,46,"score: 2,904",36 people voted,"3.76 avg rating — 11,390 ratings"
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,47,"score: 2,831",32 people voted,"4.11 avg rating — 95,084 ratings"
"Dawn (Xenogenesis, #1)",Octavia E. Butler,48,"score: 2,755",32 people voted,"4.12 avg rating — 22,774 ratings"
"Komarr (Vorkosigan Saga, #11)",Lois McMaster Bujold,49,"score: 2,579",31 people voted,"4.30 avg rating — 12,911 ratings"
"Foreigner (Foreigner, #1)",C.J. Cherryh,50,"score: 2,547",30 people voted,"3.94 avg rating — 7,157 ratings"
Where Late the Sweet Birds Sang,Kate Wilhelm,51,"score: 2,535",30 people voted,"3.87 avg rating — 8,281 ratings"
